trial,distance_m,contrast_percent,bit_rate_bps,interference,signal_amplitude,noise_sigma,signal_to_noise_ratio,total_bits,bit_errors,bit_error_rate,packet_recovered,visibility_band
1,0.5,5.0,10.0,quiet,20.0,0.05656854249492381,353.5533905932737,48,0,0.0,True,higher-contrast
2,0.5,5.0,10.0,quiet,20.0,0.05656854249492381,353.5533905932737,48,0,0.0,True,higher-contrast
3,0.5,5.0,10.0,quiet,20.0,0.05656854249492381,353.5533905932737,48,0,0.0,True,higher-contrast
4,0.5,5.0,10.0,quiet,20.0,0.05656854249492381,353.5533905932737,48,0,0.0,True,higher-contrast
5,0.5,5.0,10.0,quiet,20.0,0.05656854249492381,353.5533905932737,48,0,0.0,True,higher-contrast
6,0.5,5.0,10.0,quiet,20.0,0.05656854249492381,353.5533905932737,48,0,0.0,True,higher-contrast
7,0.5,5.0,10.0,quiet,20.0,0.05656854249492381,353.5533905932737,48,0,0.0,True,higher-contrast
8,0.5,5.0,10.0,quiet,20.0,0.05656854249492381,353.5533905932737,48,0,0.0,True,higher-contrast
9,0.5,5.0,10.0,quiet,20.0,0.05656854249492381,353.5533905932737,48,0,0.0,True,higher-contrast
10,0.5,5.0,10.0,quiet,20.0,0.05656854249492381,353.5533905932737,48,0,0.0,True,higher-contrast
1,0.5,5.0,10.0,moderate,20.0,0.14142135623730953,141.42135623730948,48,0,0.0,True,higher-contrast
2,0.5,5.0,10.0,moderate,20.0,0.14142135623730953,141.42135623730948,48,0,0.0,True,higher-contrast
3,0.5,5.0,10.0,moderate,20.0,0.14142135623730953,141.42135623730948,48,0,0.0,True,higher-contrast
4,0.5,5.0,10.0,moderate,20.0,0.14142135623730953,141.42135623730948,48,0,0.0,True,higher-contrast
5,0.5,5.0,10.0,moderate,20.0,0.14142135623730953,141.42135623730948,48,0,0.0,True,higher-contrast
6,0.5,5.0,10.0,moderate,20.0,0.14142135623730953,141.42135623730948,48,0,0.0,True,higher-contrast
7,0.5,5.0,10.0,moderate,20.0,0.14142135623730953,141.42135623730948,48,0,0.0,True,higher-contrast
